brand;model;device;topkw;devicetype;screensize;camera;releaseyear
Apple;iPhone 13;Apple iPhone 13;Cover til Apple iPhone 13;smartphone;6.1;12;2021
Samsung;Galaxy S20;Samsung Galaxy S20;Samsung Galaxy S20 Cover;smartphone;6.2;64;2020
Apple;iPhone 12;iPhone 12;Cover til iPhone 12;smartphone;6.1;12;2020
Apple;iPhone 11 Pro Max;iPhone 11 Pro Max;iPhone 11 Pro Max Covers;smartphone;6.5;12;2019
Huawei;P30;Huawei P30;Etuier til Huawei P30;smartphone;6.1;40;2019
OnePlus;7 Pro;OnePlus 7 Pro;OnePlus 7 Pro Etuier og covers;smartphone;6.67;48;2019
OnePlus;8;OnePlus 8;Covers & Beskyttelse til OnePlus 8;smartphone;6.55;48;2020
Xiaomi;Redmi S2;Xiaomi Redmi S2;Xiaomi Redmi S2 covers;smartphone;5.99;12;2018
Xiaomi;Mi 6;Xiaomi Mi 6;Cover Xiaomi Mi 6;smartphone;5.15;12;2017
Apple;iPad Mini (2021);iPad Mini (2021);Cover til iPad Mini (2021);tablet;8.3;8;2021
Samsung;Galaxy Tab A 7.0 (2016);Samsung Galaxy Tab A 7.0 (2016);Samsung Galaxy Tab A 7.0 (2016) covers;tablet;7;5;2016
